,2000,2010,2020
227,3.0,3.0,3.0
228,3.0,3.0,3.0
229,3.0,3.0,3.0
230,3.0,3.0,3.0
231,3.0,3.0,3.0
232,3.0,3.0,3.0
233,3.0,3.0,3.0
234,3.0,3.0,3.0
235,3.0,3.0,3.0
236,3.0,3.0,3.0
237,3.0,3.0,3.0
238,3.0,3.0,3.0
239,3.0,3.0,3.0
240,3.0,3.0,3.0
241,3.0,3.0,3.0
242,3.0,3.0,3.0
243,3.0,3.0,3.0
244,3.0,3.0,3.0
245,3.0,3.0,3.0
246,3.0,3.0,3.0
247,3.0,3.0,3.0
248,3.0,3.0,3.0
249,3.0,3.0,3.0
250,3.0,3.0,3.0
251,3.0,3.0,3.0
252,3.0,3.0,3.0
253,3.0,3.0,3.0
254,3.0,3.0,3.0
255,3.0,3.0,3.0
256,3.0,3.0,3.0
257,3.0,3.0,3.0
258,3.0,3.0,3.0
259,3.0,3.0,3.0
260,3.0,3.0,3.0
261,3.0,3.0,3.0
262,3.0,3.0,3.0
263,3.0,3.0,3.0
264,3.0,3.0,3.0
265,3.0,3.0,3.0
266,3.0,3.0,3.0
267,3.0,3.0,3.0
268,,,
269,0.0,0.0,0.0
270,4.0,4.0,4.0
271,4.0,4.0,4.0
272,4.0,4.0,4.0
273,4.0,4.0,4.0
274,4.0,4.0,4.0
275,4.0,4.0,4.0
276,4.0,4.0,4.0
277,4.0,4.0,4.0
278,4.0,4.0,4.0
279,4.0,4.0,4.0
280,4.0,4.0,4.0
281,0.0,0.0,0.0
282,0.0,0.0,0.0
283,3.0,3.0,3.0
284,3.0,3.0,3.0
285,3.0,3.0,3.0
286,3.0,3.0,3.0
287,3.0,3.0,3.0
288,3.0,3.0,3.0
289,3.0,3.0,3.0
290,3.0,3.0,3.0
291,3.0,3.0,3.0
292,0.0,0.0,0.0
293,3.0,3.0,3.0
294,0.0,0.0,0.0
295,3.0,3.0,3.0
296,3.0,3.0,3.0
297,3.0,3.0,3.0
298,0.0,0.0,0.0
299,0.0,0.0,0.0
300,0.0,0.0,0.0
301,4.0,4.0,4.0
302,4.0,4.0,4.0
303,4.0,4.0,4.0
304,4.0,4.0,4.0
305,4.0,4.0,4.0
306,4.0,4.0,4.0
307,4.0,4.0,4.0
308,4.0,4.0,4.0
309,0.0,0.0,0.0
310,4.0,4.0,4.0
311,4.0,4.0,4.0
312,3.0,3.0,3.0
313,3.0,3.0,3.0
314,3.0,3.0,3.0
315,3.0,3.0,3.0
316,3.0,3.0,3.0
317,3.0,3.0,3.0
318,3.0,3.0,3.0
319,3.0,3.0,3.0
320,3.0,3.0,3.0
321,3.0,3.0,3.0
322,3.0,3.0,3.0
323,3.0,3.0,3.0
324,3.0,3.0,3.0
325,3.0,3.0,3.0
326,3.0,3.0,3.0
327,3.0,3.0,3.0
328,3.0,3.0,3.0
329,3.0,3.0,3.0
330,3.0,3.0,3.0
331,3.0,3.0,3.0
332,3.0,3.0,3.0
333,3.0,3.0,3.0
334,3.0,3.0,3.0
335,3.0,3.0,3.0
336,3.0,3.0,3.0
337,3.0,3.0,3.0
338,3.0,3.0,3.0
339,3.0,3.0,3.0
340,3.0,3.0,3.0
341,3.0,3.0,3.0
342,3.0,3.0,3.0
343,3.0,3.0,3.0
344,3.0,3.0,3.0
345,3.0,3.0,3.0
346,3.0,3.0,3.0
347,3.0,3.0,3.0
348,3.0,3.0,3.0
349,3.0,3.0,3.0
350,3.0,3.0,3.0
351,3.0,3.0,3.0
352,3.0,3.0,3.0
353,3.0,3.0,3.0
354,3.0,3.0,3.0
355,3.0,3.0,3.0
356,3.0,3.0,3.0
357,3.0,3.0,3.0
358,3.0,3.0,3.0
359,3.0,3.0,3.0
